ds,y,month,weekday,week
2017-05-26,28.346866096866098,5,4,21
2017-06-10,27.77082571184684,6,5,23
2017-06-11,27.421524430734955,6,6,23
2017-06-15,27.700502196579535,6,3,24
2017-06-17,28.283074930107535,6,5,24
2017-06-18,27.207483766032208,6,6,24
2017-06-21,24.249643067304525,6,2,25
2017-06-23,31.095017500096688,6,4,25
2017-06-24,27.36227667809106,6,5,25
2017-06-25,24.714951669887093,6,6,25
2017-06-30,29.842579508295813,6,4,26
2017-07-04,27.30066098139988,7,1,27
2017-07-07,30.068456159951193,7,4,27
2017-07-08,28.244423335977192,7,5,27
2017-07-09,29.81583513998041,7,6,27
2017-07-16,27.91119219649153,7,6,28
2017-07-30,24.668927576033738,7,6,30
2017-08-27,26.20587419137737,8,6,34
2017-08-29,30.79443122324005,8,1,35
2017-08-30,23.881782042438576,8,2,35
2017-08-31,26.38617779901655,8,3,35
2017-09-01,29.18566914211759,9,4,35
2017-09-04,31.01904620702104,9,0,36
2017-09-06,22.013266379660145,9,2,36
2017-09-07,22.55735106237204,9,3,36
2017-09-08,17.584580985549948,9,4,36
2017-09-09,15.68642685936264,9,5,36
2017-09-10,15.68642685936264,9,6,36
2017-09-11,15.68642685936264,9,0,37
2017-09-12,17.096013875674892,9,1,37
2017-09-13,17.202615111935557,9,2,37
2017-09-14,21.221383817879143,9,3,37
2017-09-15,22.88440394900993,9,4,37
2017-09-16,30.99512099921936,9,5,37
2017-09-20,27.738132230451882,9,2,38
2017-09-29,28.65137848876787,9,4,39
2017-10-05,27.55436089701061,10,3,40
2017-12-06,29.70380736161986,12,2,49
2018-01-03,30.613963062231022,1,2,1
2018-03-20,28.231954378794253,3,1,12
2018-04-10,22.347709500451785,4,1,15
2018-04-15,30.244885820181732,4,6,15
2018-04-25,28.99863264427218,4,2,17
2018-05-20,20.90150526071328,5,6,20
2018-07-04,28.52025784604661,7,2,27
2018-07-22,30.867103646380066,7,6,29
2018-07-29,28.499176774051918,7,6,30
2018-08-21,26.478540423925043,8,1,34
2018-08-26,29.354367903866738,8,6,34
2018-08-28,21.527620499419278,8,1,35
2018-08-29,21.02582888485449,8,2,35
2018-08-30,25.531280474317853,8,3,35
2018-08-31,24.98488590558175,8,4,35
2018-09-01,26.04966934901911,9,5,35
2018-09-03,31.015353920888273,9,0,36
2018-09-04,18.697572432119372,9,1,36
2018-09-05,18.238568631020886,9,2,36
2018-09-06,22.59356676264228,9,3,36
2018-09-07,23.65693335810727,9,4,36
2018-09-08,26.954534344259333,9,5,36
2018-09-11,22.158571648653258,9,1,37
2018-09-12,24.940093157790976,9,2,37
2018-09-13,27.025882541797895,9,3,37
2018-09-16,27.815825123603737,9,6,37
2018-09-17,28.64451072266808,9,0,38
2018-09-18,28.7697475505689,9,1,38
2018-09-19,23.94906982633031,9,2,38
2018-09-22,30.38137962600759,9,5,38
2018-09-24,30.95661021821075,9,0,39
2018-09-25,29.15957856542291,9,1,39
2018-09-26,24.215181060785394,9,2,39
2018-09-28,28.137535354353567,9,4,39
2018-10-01,29.00208959521357,10,0,40
2018-10-02,29.7951355627496,10,1,40
2018-10-23,29.5175037649866,10,1,43
2018-10-24,30.18888400725917,10,2,43
2018-10-29,30.220990494488824,10,0,44
2018-10-31,24.882323243821908,10,2,44
2018-11-01,30.051178295633274,11,3,44
2018-11-02,30.97272646922688,11,4,44
2018-11-14,27.177142090822073,11,2,46
2018-12-09,30.431871920784737,12,6,49
2018-12-20,16.169526198439243,12,3,51
2019-01-15,28.692193537377655,1,1,3
2019-01-16,25.539760948142764,1,2,3
2019-01-27,15.038831789523162,1,6,4
2019-02-06,30.689320605505102,2,2,6
2019-02-12,30.660240951101102,2,1,7
2019-02-13,23.518811343096196,2,2,7
2019-04-08,29.567757866215295,4,0,15
2019-04-09,27.599830805273456,4,1,15
2019-05-22,30.508461430721617,5,2,21
2019-07-04,29.34741256375321,7,3,27
2019-08-26,27.710104262510345,8,0,35
2019-08-27,29.29263830532213,8,1,35
2019-08-28,23.283890035224985,8,2,35
2019-08-29,19.921360122135635,8,3,35
2019-08-30,19.566321252630818,8,4,35
2019-08-31,22.50298746725219,8,5,35
2019-09-01,17.796669724263438,9,6,35
2019-09-02,15.216890599430482,9,0,36
2019-09-03,11.057692251825124,9,1,36
2019-09-04,10.574144211371152,9,2,36
2019-09-05,11.02669854817507,9,3,36
2019-09-06,14.278915034293957,9,4,36
2019-09-07,21.72458083998353,9,5,36
2019-09-08,23.92450605065866,9,6,36
2019-09-09,18.646190778404637,9,0,37
2019-09-10,23.03629231824511,9,1,37
2019-09-11,17.145708283313326,9,2,37
2019-09-12,24.16999750641208,9,3,37
2019-09-13,25.80370418449011,9,4,37
2019-09-15,27.08112950801455,9,6,37
2019-09-16,23.59004217318929,9,0,38
2019-09-17,21.56154249798178,9,1,38
2019-09-18,18.977619980250168,9,2,38
2019-09-19,25.475044215180546,9,3,38
2019-09-20,31.00148506450943,9,4,38
2019-09-23,30.995118679704124,9,0,39
2019-09-24,26.336908464724843,9,1,39
2019-09-25,28.194397115758527,9,2,39
2019-09-26,29.14823503414102,9,3,39
2019-10-01,28.284318998802043,10,1,40
2019-10-02,18.990710074273032,10,2,40
2019-10-03,29.585711039973955,10,3,40
2019-10-09,30.78956457275468,10,2,41
2019-10-19,29.385507855989687,10,5,42
2019-10-23,24.485629807334337,10,2,43
2019-10-24,28.831276874576663,10,3,43
2019-10-28,29.96831527335705,10,0,44
2019-10-29,26.141814815138687,10,1,44
2019-10-30,21.577109298198156,10,2,44
2019-10-31,20.5048919604056,10,3,44
2019-11-19,30.37808255869857,11,1,47
2019-12-11,27.522072586284914,12,2,50
