ds,y,month,weekday,week
2016-08-31,44.68320628033992,8,2,35
2016-09-01,42.96957323618379,9,3,35
2016-09-02,45.49272504936904,9,4,35
2016-09-04,48.30587659363729,9,6,35
2016-09-06,47.262866143547484,9,1,36
2016-09-07,39.327211719794654,9,2,36
2016-09-08,37.896392094686256,9,3,36
2016-09-09,40.74542839889931,9,4,36
2016-09-10,47.27369505982822,9,5,36
2016-09-11,44.362648548189185,9,6,36
2016-09-12,43.60381843468518,9,0,37
2016-09-13,44.359024627539526,9,1,37
2016-09-14,37.039409858876,9,2,37
2016-09-15,36.290230986854276,9,3,37
2016-09-16,39.88525217564281,9,4,37
2016-09-17,47.22053374122754,9,5,37
2016-09-18,45.17203657880342,9,6,37
2016-09-19,45.32355488289935,9,0,38
2016-09-20,47.026946507840236,9,1,38
2016-09-21,40.681253397051215,9,2,38
2016-09-22,40.91765671692559,9,3,38
2016-09-23,45.49410842669327,9,4,38
2017-08-23,46.04604939003718,8,2,34
2017-08-24,44.3537938411845,8,3,34
2017-08-25,46.88236240618149,8,4,34
2017-08-28,48.35146884263594,8,0,35
2017-08-29,48.47367791088715,8,1,35
2017-08-30,40.42266219241278,8,2,35
2017-08-31,38.83675257524875,8,3,35
2017-09-01,41.48427270033123,9,4,35
2017-09-02,47.75783440180645,9,5,35
2017-09-03,44.532417057409404,9,6,35
2017-09-04,47.389594934796285,9,0,36
2017-09-05,43.69876925443684,9,1,36
2017-09-06,35.855263618107216,9,2,36
2017-09-07,34.50674128276674,9,3,36
2017-09-08,37.42724577438089,9,4,36
2017-09-09,44.015363280253666,9,5,36
2017-09-10,41.152009866054485,9,6,36
2017-09-11,40.42847602604033,9,0,37
2017-09-12,41.2066902969518,9,1,37
2017-09-13,33.898289020487844,9,2,37
2017-09-14,33.14943406758315,9,3,37
2017-09-15,36.73522012506069,9,4,37
2017-09-16,44.05346421912405,9,5,37
2017-09-17,41.98229667433572,9,6,37
2017-09-18,42.108065930961104,9,0,38
2017-09-19,43.785526735237774,9,1,38
2017-09-20,37.41690475879301,9,2,38
2017-09-21,37.58288208346623,9,3,38
2017-09-22,42.09885323304735,9,4,38
2017-09-27,47.0776433904888,9,2,39
2017-09-28,47.957147275190565,9,3,39
2018-06-28,48.37031861874749,6,3,26
2018-07-05,44.84776918153938,7,3,27
2018-07-06,47.72599769321398,7,4,27
2018-07-11,43.24610539295908,7,2,28
2018-07-12,42.13755841627864,7,3,28
2018-07-13,45.29906957753562,7,4,28
2018-07-18,42.77964807126765,7,2,29
2018-07-19,42.128487033506644,7,3,29
2018-07-20,45.749472635683674,7,4,29
2018-07-25,45.20987078629153,7,2,30
2018-07-26,44.824237645997314,7,3,30
2018-08-01,48.036183197233655,8,2,31
2018-08-02,47.41167891983508,8,3,31
2018-08-08,47.97999155651523,8,2,32
2018-08-09,46.79156342803665,8,3,32
2018-08-15,44.12301885629402,8,2,33
2018-08-16,42.49737575054192,8,3,33
2018-08-17,45.04846289773022,8,4,33
2018-08-19,47.751587900691945,8,6,33
2018-08-20,46.37041834547644,8,0,34
2018-08-21,46.38804754504041,8,1,34
2018-08-22,38.21147247566199,8,2,34
2018-08-23,36.481854680083266,8,3,34
2018-08-24,38.969256242790074,8,4,34
2018-08-25,45.066808733608006,8,5,34
2018-08-26,41.64872157738705,8,6,34
2018-08-27,40.298627505051826,8,0,35
2018-08-28,40.370218250198064,8,1,35
2018-08-29,32.266746129059854,8,2,35
2018-08-30,30.626319300041278,8,3,35
2018-08-31,33.21681612334927,8,4,35
2018-09-01,39.430193439445986,9,5,35
2018-09-02,36.14058898615703,9,6,35
2018-09-03,38.92858150017628,9,0,36
2018-09-04,35.16246432379418,9,1,36
2018-09-05,27.236389928540017,9,2,36
2018-09-06,25.79684229593333,9,3,36
2018-09-07,28.61673683624136,9,4,36
2018-09-08,35.093644298383325,9,5,36
2018-09-09,32.107639539388,9,6,36
2018-09-10,31.24940544274797,9,0,37
2018-09-11,31.88055147546219,9,1,37
