ds,y,month,weekday,week
2015-01-20,82.57401798063597,1,1,4
2015-01-21,73.57910636041541,1,2,4
2015-01-22,77.64092315271675,1,3,4
2015-01-23,81.43883139078793,1,4,4
2015-01-24,86.7275236501683,1,5,4
2015-01-25,86.60540912183998,1,6,4
2015-01-26,88.56151688487469,1,0,5
2015-01-27,83.25995070407602,1,1,5
2015-01-28,78.23830939499128,1,2,5
2015-01-29,86.01829276704439,1,3,5
2015-01-30,93.2021570699109,1,4,5
2015-05-06,92.50881917202526,5,2,19
2015-09-02,85.74459003572045,9,2,36
2015-09-03,89.2949967923681,9,3,36
2015-09-04,92.05622018258414,9,4,36
2015-09-08,85.04148009928174,9,1,37
2015-09-09,76.88952643015911,9,2,37
2015-09-10,81.30838016437033,9,3,37
2015-09-11,84.98330136475973,9,4,37
2015-09-12,89.68947212290419,9,5,37
2015-09-13,88.55968363246194,9,6,37
2015-09-14,89.1301489908159,9,0,38
2015-09-15,82.12350668492648,9,1,38
2015-09-16,75.14546860510916,9,2,38
2015-09-17,80.79338150818073,9,3,38
2015-09-18,85.75042255238596,9,4,38
2015-09-19,91.78761781897259,9,5,38
2015-09-20,92.03124802893836,9,6,38
2015-09-22,88.43012787503393,9,1,39
2015-09-23,82.88753033188848,9,2,39
2015-09-24,89.96095004956027,9,3,39
2016-08-23,88.19422803882,8,1,34
2016-08-24,78.64801105443843,8,2,34
2016-08-25,81.5482582804591,8,3,34
2016-08-26,83.58650287443542,8,4,34
2016-08-27,86.54258793059415,8,5,34
2016-08-28,83.55245173220942,8,6,34
2016-08-29,82.15416101975292,8,0,35
2016-08-30,73.0712491829225,8,1,35
2016-08-31,63.909800275017545,8,2,35
2016-09-01,67.26753031463429,9,3,35
2016-09-02,69.82856507883004,9,4,35
2016-09-03,73.36607862802757,9,5,35
2016-09-04,71.01032966729116,9,6,35
2016-09-05,81.77447669612022,9,0,36
2016-09-06,61.94004988743008,9,1,36
2016-09-07,53.55002842124079,9,2,36
2016-09-08,57.72191760144426,9,3,36
2016-09-09,61.14038094564158,9,4,36
2016-09-10,65.5800826386851,9,5,36
2016-09-11,64.17345564958967,9,6,36
2016-09-12,64.45659479008958,9,0,37
2016-09-13,57.152336228274756,9,1,37
2016-09-14,49.866973894064685,9,2,37
2016-09-15,55.19887844842583,9,3,37
2016-09-16,59.832736464472994,9,4,37
2016-09-17,65.54159615186127,9,5,37
2016-09-18,65.45428173879537,9,6,37
2016-09-19,67.10098868863298,9,0,38
2016-09-20,61.196136906698285,9,1,38
2016-09-21,55.33494602299467,9,2,38
2016-09-22,62.102009535661054,9,3,38
2016-09-23,68.16559357122993,9,4,38
2016-09-24,75.27985131390942,9,5,38
2016-09-25,76.55251627463058,9,6,38
2016-09-26,79.49088380503585,9,0,39
2016-09-27,74.78515137116152,9,1,39
2016-09-28,70.00557124733731,9,2,39
2016-09-29,77.71167841782497,9,3,39
2016-09-30,84.54730220813431,9,4,39
2016-10-01,92.2435326743968,10,5,39
2016-10-04,92.16039327465667,10,1,40
2016-10-05,87.0259469141912,10,2,40
2016-10-19,87.44953343916757,10,2,42
2016-10-20,90.67815262695967,10,3,42
2016-10-21,92.91559481539888,10,4,42
2016-10-23,93.05856640625541,10,6,42
2016-10-24,91.72821782087533,10,0,43
2016-10-25,82.7615800207171,10,1,43
2016-10-26,73.81054120856572,10,2,43
2016-10-27,77.51621527641652,10,3,43
2016-10-28,80.60221203325719,10,4,43
2016-10-29,84.87583172259477,10,5,43
2016-10-30,83.49476776563172,10,6,43
2016-10-31,84.01214783238458,10,0,44
2016-11-01,77.15900393255833,11,1,44
2016-11-02,70.54064438084549,11,2,44
2016-11-03,76.74520818569079,11,3,44
2016-11-04,82.43812627624578,11,4,44
2016-11-05,89.36467421731317,11,5,44
2016-11-06,90.61816830951626,11,6,44
2016-11-08,89.23674980340849,11,1,45
2016-11-09,84.81223915584958,11,2,45
2016-11-10,92.94370969455836,11,3,45
2016-12-07,85.36470257446223,12,2,49
2016-12-08,90.06521589953367,12,3,49
2016-12-14,93.29293467625249,12,2,50
2017-01-17,88.50784004199217,1,1,3
2017-01-18,77.82168283111494,1,2,3
2017-01-19,80.12521353852043,1,3,3
2017-01-20,82.13345710948835,1,4,3
2017-01-21,85.63688081816056,1,5,3
2017-01-22,83.76890678505055,1,6,3
2017-01-23,84.05196855710429,1,0,4
2017-01-24,77.18116844725994,1,1,4
2017-01-25,70.72196961763584,1,2,4
2017-01-26,77.22016091480097,1,3,4
2017-01-27,83.29777397403716,1,4,4
2017-01-28,90.6570913641518,1,5,4
2017-01-29,92.35025221171512,1,6,4
2017-01-31,91.8594942660535,1,1,5
2017-02-01,87.82389524857302,2,2,5
2017-04-26,88.78306943262731,4,2,17
2017-04-27,92.97887950783016,4,3,17
