ds,y,month,weekday,week
2015-01-07,32.95687943262411,1,2,2
2015-01-08,33.23307210031348,1,3,2
2015-01-09,27.464848715992883,1,4,2
2015-01-11,24.128521309771312,1,6,2
2015-01-12,21.797634093321875,1,0,3
2015-01-13,26.915587740472535,1,1,3
2015-01-14,26.359112213950922,1,2,3
2015-01-15,28.654874662406332,1,3,3
2015-01-21,29.04817927170868,1,2,4
2015-01-22,33.36767733483062,1,3,4
2015-01-23,28.862914862914863,1,4,4
2015-01-25,33.050953320184085,1,6,4
2015-01-26,28.705387205387208,1,0,5
2015-01-28,25.89351851851852,1,2,5
2015-01-29,31.970093330608353,1,3,5
2015-02-02,25.67676767676768,2,0,6
2015-02-04,27.088468586497,2,2,6
2015-02-05,21.421317721141666,2,3,6
2015-02-08,30.69188296827978,2,6,6
2015-02-09,24.54422717743472,2,0,7
2015-02-10,33.81566054598635,2,1,7
2015-02-11,34.31623170672316,2,2,7
2015-02-24,31.951766158119444,2,1,9
2015-02-25,32.467202036391164,2,2,9
2015-02-26,32.01979166666667,2,3,9
2015-02-28,29.487010107088334,2,5,9
2015-03-04,24.846175075155973,3,2,10
2015-03-06,29.793437606256376,3,4,10
2015-04-15,31.732656380968617,4,2,16
2015-04-16,33.89263432645785,4,3,16
2015-04-20,32.844595179389124,4,0,17
2015-04-23,31.693766674689616,4,3,17
2015-04-26,30.01688979746589,4,6,17
2015-04-28,24.335396830562477,4,1,18
2015-04-29,30.59041047168077,4,2,18
2015-05-07,32.8113727956843,5,3,19
2015-05-11,33.59842037648786,5,0,20
2015-05-13,31.943976403521432,5,2,20
2015-05-17,33.75592957489509,5,6,20
2015-05-20,33.39311689588116,5,2,21
2015-07-28,32.38192195231669,7,1,31
2015-08-31,29.14401709401709,8,0,36
2015-09-01,33.08092844196758,9,1,36
2015-09-02,32.707409378061556,9,2,36
2015-09-03,32.94670449161033,9,3,36
2015-09-04,31.405360214001433,9,4,36
2015-09-07,32.654512395816745,9,0,37
2015-09-09,32.51828992263775,9,2,37
2015-09-15,31.72867361360771,9,1,38
2015-09-18,29.535366224762512,9,4,38
2015-09-20,29.268106162843,9,6,38
2015-09-22,30.5621011352555,9,1,39
2015-09-25,31.247178844547268,9,4,39
2015-09-27,30.198856278714988,9,6,39
2015-09-29,33.61424742174368,9,1,40
2015-10-01,25.85847613147285,10,3,40
2015-10-02,27.295904239832137,10,4,40
2015-10-04,21.484079325506784,10,6,40
2015-10-06,26.98479975990419,10,1,41
2015-10-08,27.278697384040896,10,3,41
2015-10-15,31.150717138707336,10,3,42
2015-10-16,33.873271587829514,10,4,42
2015-10-18,32.352546087162274,10,6,42
2015-10-20,27.8007399577167,10,1,43
2015-10-22,27.950120837808807,10,3,43
2015-10-23,31.362950987138515,10,4,43
2015-10-25,31.727780916883102,10,6,43
2015-10-27,23.979570585077834,10,1,44
2015-10-28,26.916517377161444,10,2,44
2015-10-29,27.750275731020277,10,3,44
2015-10-31,28.809773190298667,10,5,44
2015-11-01,31.057603752456696,11,6,44
2015-11-08,28.29731559290383,11,6,45
2015-11-10,26.56294069222234,11,1,46
2015-11-12,28.442276954373728,11,3,46
2015-11-13,28.123409669211195,11,4,46
2015-11-15,33.886879537465916,11,6,46
2015-11-17,29.3082512777805,11,1,47
2015-11-18,33.913769680611786,11,2,47
2015-11-19,24.93923395445135,11,3,47
2015-11-20,32.05346329376366,11,4,47
2015-11-22,31.307487702248732,11,6,47
2015-11-29,28.75855012789319,11,6,48
2015-12-01,24.428444202108324,12,1,49
2015-12-03,20.17814020992198,12,3,49
2015-12-04,27.821818912750288,12,4,49
2015-12-06,26.88190959837172,12,6,49
2015-12-08,24.57599697045316,12,1,50
2015-12-10,28.947962243897326,12,3,50
2015-12-11,29.086476139601142,12,4,50
2015-12-13,28.069744627665624,12,6,50
2015-12-15,25.242597262619388,12,1,51
2015-12-17,27.669816640584248,12,3,51
2015-12-18,24.08664713983006,12,4,51
2016-01-03,20.437399549983926,1,6,53
2016-01-06,33.70510657178957,1,2,1
2016-01-08,32.10385662309141,1,4,1
2016-01-09,33.67346702419297,1,5,1
2016-01-10,32.86140137002206,1,6,1
2016-01-13,31.10850574712644,1,2,2
2016-01-15,24.041382151029747,1,4,2
2016-01-17,33.59398240672258,1,6,2
2016-01-20,29.17134691425078,1,2,3
2016-01-22,22.696245624177024,1,4,3
2016-01-23,30.911997404644467,1,5,3
2016-01-27,16.697674418604652,1,2,4
2016-01-28,18.948865155160263,1,3,4
2016-02-03,34.15070745647187,2,2,5
2016-02-04,25.567226399331663,2,3,5
2016-02-05,32.45321022284556,2,4,5
2016-02-06,25.923829639287266,2,5,5
2016-02-07,31.916545799879135,2,6,5
2016-02-09,32.4195031983938,2,1,6
2016-02-24,21.42545466428219,2,2,8
2016-03-01,30.891569908079344,3,1,9
2016-03-02,28.655008614068958,3,2,9
2016-04-13,33.33867521367521,4,2,15
2016-04-14,28.91930054476308,4,3,15
2016-05-04,16.036997460036023,5,2,18
2016-05-11,27.066666666666666,5,2,19
2016-05-12,32.92051282051282,5,3,19
2016-05-17,31.334981114979197,5,1,20
2016-08-28,32.803338918894006,8,6,34
2016-08-31,32.848058349022665,8,2,35
2016-09-01,31.799216579339873,9,3,35
2016-09-02,23.487770021074812,9,4,35
2016-09-08,19.5028425513123,9,3,36
2016-09-11,21.146660487585663,9,6,36
2016-09-13,19.40821825806346,9,1,37
2016-09-15,30.389907157831686,9,3,37
2016-09-16,22.547675729685494,9,4,37
2016-09-18,27.483061534806367,9,6,37
2016-09-20,24.68768654247523,9,1,38
2016-09-23,24.856772366553297,9,4,38
2016-09-25,25.13788893099238,9,6,38
2016-09-27,31.056159315652987,9,1,39
2016-09-29,23.452571643071646,9,3,39
2016-09-30,30.482259459048226,9,4,39
2016-10-04,29.8248507872412,10,1,40
2016-10-06,23.274329656533045,10,3,40
2016-10-07,16.152636534839925,10,4,40
2016-10-13,32.83055905744658,10,3,41
2016-10-16,30.803208065287482,10,6,41
2016-10-18,30.929191297208536,10,1,42
2016-10-20,31.778106237197147,10,3,42
2016-10-25,30.830175177186774,10,1,43
2016-10-27,27.28128443372346,10,3,43
2016-10-28,33.978135460908454,10,4,43
2016-10-30,32.83092747642447,10,6,43
2016-10-31,31.749229518109974,10,0,44
2016-11-02,33.42688492063492,11,2,44
2016-11-03,33.0310877315353,11,3,44
2016-11-13,34.154309557459165,11,6,45
2016-11-15,26.286060975114683,11,1,46
2016-11-17,28.289629794826052,11,3,46
2016-11-27,29.23775678512521,11,6,47
2016-11-29,30.562964968221944,11,1,48
2016-12-01,25.754671356479292,12,3,48
2016-12-02,30.166899766899764,12,4,48
2016-12-04,31.806094771241828,12,6,48
2016-12-06,21.210291374637887,12,1,49
2016-12-08,23.69751004436078,12,3,49
2016-12-09,25.643918095634344,12,4,49
2016-12-11,32.13697649921906,12,6,49
2016-12-13,31.058439456166724,12,1,50
2016-12-15,25.147348474305804,12,3,50
2017-01-07,32.16884954338432,1,5,1
2017-01-22,25.106483990765835,1,6,3
2017-01-29,21.031771305198347,1,6,4
2017-01-30,31.524249965837456,1,0,5
2017-02-01,31.26218563788196,2,2,5
2017-02-09,32.75837350142133,2,3,6
2017-02-22,34.05792609580905,2,2,8
2017-09-07,32.019120287114326,9,3,36
2017-09-08,33.939295370948905,9,4,36
2017-09-09,25.959055290978483,9,5,36
2017-09-10,25.959055290978483,9,6,36
2017-09-11,25.959055290978483,9,0,37
2017-09-12,26.027097081322434,9,1,37
2017-09-13,31.734203725967777,9,2,37
2017-09-14,34.114822569047924,9,3,37
2017-09-15,32.233428276666366,9,4,37
2017-09-17,33.95366502814355,9,6,37
2017-10-05,32.695606090906495,10,3,40
2017-11-01,34.220019816761095,11,2,44
2017-11-16,34.32726923248351,11,3,46
2017-11-17,33.225081935773034,11,4,46
2017-11-26,32.54596622889306,11,6,47
2017-11-28,26.301814451542953,11,1,48
2017-11-30,28.058548977903815,11,3,48
2017-12-05,31.31539619800489,12,1,49
2017-12-07,24.890644870654103,12,3,49
2017-12-08,31.237546571133198,12,4,49
2017-12-10,31.849176646706585,12,6,49
2017-12-12,29.829218043629524,12,1,50
2017-12-14,30.202656780970035,12,3,50
2017-12-15,34.099321560983064,12,4,50
2018-01-01,30.79799315910427,1,0,1
2018-04-10,26.236248163982946,4,1,15
2018-08-17,30.186815953321474,8,4,33
2018-08-24,33.94908092553441,8,4,34
2018-08-28,23.159580181189877,8,1,35
2018-08-30,33.7874885407679,8,3,35
2018-08-31,28.73148443049253,8,4,35
2018-09-03,23.623576201546985,9,0,36
2018-09-04,33.70555164243229,9,1,36
2018-09-05,31.592727272727274,9,2,36
2018-09-06,32.281369609312996,9,3,36
2018-09-07,21.33556544778958,9,4,36
2018-09-09,21.89372818208633,9,6,36
2018-09-11,22.506021128119276,9,1,37
2018-09-14,26.24920641809052,9,4,37
2018-09-16,27.32771366969946,9,6,37
2018-09-18,26.198166233617737,9,1,38
2018-09-21,26.03512214018777,9,4,38
2018-09-23,25.690026854231544,9,6,38
2018-09-25,22.705185362099616,9,1,39
2018-09-27,32.51659436118872,9,3,39
2018-09-28,26.189087887914713,9,4,39
2018-09-30,21.779628738306155,9,6,39
2018-10-02,22.571562575647544,10,1,40
2018-10-04,27.484756621947025,10,3,40
2018-10-05,31.477705199459063,10,4,40
2018-10-09,30.778528021372384,10,1,41
2018-10-11,30.33089235777466,10,3,41
2018-10-12,34.01603209370857,10,4,41
2018-10-16,30.442321126903682,10,1,42
2018-10-18,32.83797388705364,10,3,42
2018-10-19,33.780439144653194,10,4,42
2018-10-21,30.63708290130843,10,6,42
2018-10-23,26.56259562434542,10,1,43
